"Allied_Nations","Diplomatic_Meetings_Set","Percent_Of_Forces_Mobilized","Hostile_Nations","Active_Threats","Inactive_Threats","Citizen_Fear_Index","Closest_Threat_Distance(km)","Aircraft_Carriers_Responding","Troops_Mobilized(thousands)","DEFCON_Level","ID"
8,1,0.23,2,25,88,0.442731277533035,358.28,1,818400,3,1470
10,1,0.23,2,19,46,0.685022026431714,337.08,1,932800,3,2715
7,1,0.31,2,31,89,0.420704845814975,351.92,0,827200,1,9561
6,0,0.21,2,20,47,0.500734214390595,359.34,1,853600,2,10101
8,1,0.26,2,17,119,0.464757709251094,345.56,1,844800,2,10811
7,0,0.33,2,9,29,0.396475770925111,373.12,1,836000,2,6245
5,1,0.19,8,29,65,0.171071953010269,366.76,1,1012000,4,668
10,0,0.49,5,9,24,0.350220264317172,341.32,1,1179200,3,9378
7,0,0.29,2,31,54,0.503671071952998,369.94,0,818400,2,11775
7,1,0.23,2,32,96,0.458883994126288,351.92,1,818400,3,2211
8,0,0.42,2,18,30,0.262114537444926,332.84,1,1091200,3,6267
8,0,0.7,2,27,116,0.538179148311301,331.78,1,836000,2,6731
8,0,0.53,2,5,9,0.439060205580025,319.06,1,1003200,3,125
9,0,0.39,2,17,43,0.310572687224662,337.08,1,1056000,3,268
12,1,0.5,3,19,112,0.699706314243761,332.84,1,827200,3,1738
7,1,0.04,2,12,67,0.497797356828192,365.7,1,827200,1,830
9,0,0.41,8,6,24,0.919970631424372,358.28,1,809600,2,1715
8,0,0.44,2,6,16,0.406020558002936,360.4,1,968000,3,9318
13,0,0.55,2,5,47,0.707048458149781,323.3,1,880000,3,7677
8,1,0.12,2,15,59,0.498531571218798,340.26,1,844800,2,12443
12,0,0.55,2,5,22,0.709985315712184,340.26,1,959200,3,11549
13,1,0.45,2,20,46,0.77312775330396,321.18,1,897600,3,5006
8,1,0,2,8,13,0.430249632892799,356.16,1,880000,4,11966
8,0,0.32,2,14,87,0.513215859030838,338.14,1,844800,3,5027
11,0,0.39,16,6,15,0.714390602055801,325.42,1,959200,2,10645
6,1,0.06,2,38,46,0.353891336270182,356.16,0,836000,2,12279
10,0,0.47,2,17,31,0.406020558002936,362.52,1,976800,3,366
8,0,0.31,2,8,24,0.444933920704839,348.74,1,968000,3,11277
6,1,0,4,32,77.5,0.494126284875182,371,1,827200,3,1428
10,0,0.47,2,9,21,0.463289280469889,338.14,1,1003200,3,519
10,0,0.41,3,4,12,0.516152716593241,352.98,1,1073600,4,7452
8,1,0.23,2,20,45,0.385462555066082,351.92,0,844800,2,10896
7,1,0.07,2,16,86,0.542584434654917,374.18,1,853600,3,11762
6,0,0.53,2,6,14,0.10499265785609,352.98,0,1196800,3,36
7,0,0.42,2,14,21,0.437591776798819,354.04,1,968000,3,299
9,1,0.49,3,38,153,0.573421439060194,326.48,1,765600,2,10364
10,0,0.49,6,9,17,0.582232011747428,339.2,1,968000,3,4748
8,1,0.1,3,4,13,0.536710719530095,375.24,1,976800,1,2548
10,0,0.55,2,5,11,0.401615271659319,352.98,1,1047200,3,5900
8,1,0.05,2,8,32,0.615271659324517,348.74,1,818400,2,10758
11,1,0.66,2,7,23,0.596916299559467,350.86,1,924000,2,5128
8,0,0.28,2,19,122,0.494126284875182,334.96,1,841866.666666667,2,9055
6,1,0.09,2,7,28,0.303230543318642,356.16,1,985600,2,4358
8,0,0.29,4,5,18,0.388399412628485,351.92,1,994400,3,4743
12,0,0.49,1,10,26,0.699706314243761,321.18,1,897600,3,2332
8,1,0,2,27,44,0.419236417033762,357.22,1,941600,2,6164
9,0,0.57,3,3,9,0.477973568281928,330.72,1,968000,3,7135
6,0,0.29,13,72,82,0.414831130690161,373.12,1,1047200,3,2751
8,1,0.12,2,38,48,0.386196769456672,358.28,0,888800,2,6522
7,0,0.49,2,26,67,0.332599118942729,355.1,1,1135200,4,11580
8,0,0.4,2,24,50,0.362701908957415,358.28,1,1073600,4,2877
8,1,0.36,6,7,23,0.389867841409682,345.56,1,1056000,3,10305
8,0,0.2,2,18,24,0.376651982378848,329.66,0,880000,3,7578
8,0,0.25,3,30,68,0.552863436123348,339.2,1,827200,2,4035
7,0,0.38,3,18,72,0.357562408223192,330.72,1,1056000,4,2125
8,1,0.08,3,14,27,0.584434654919232,367.82,1,827200,3,3745
9,0,0.43,2,12,21,0.400146842878121,355.1,1,1020800,4,5679
7,1,0.17,2,15,24,0.455212922173278,373.12,1,968000,3,11557
7,0,0.26,2,13,31,0.421439060205582,363.58,1,880000,3,11576
8,1,0.2,2,9,75,0.486784140969162,338.14,1,844800,2,574
9,1,0.04,2,24,43,0.450073421439055,332.84,0,844800,2,7566
11,0,0.52,3,10,24,0.508810572687221,339.2,1,1064800,4,9505
12,0,0.5,2,6,24,0.674008810572684,332.84,1,959200,4,2443
6,0,0.16,2,11,18,0.398678414096916,356.16,0,862400,3,5129
7,1,0.25,5,51,60,0.429515418502201,360.4,1,1012000,3,3991
10,0,0.49,3,5,17,0.655653450807642,338.14,1,941600,3,7631
11,0,0.48,2,14,33,0.582232011747428,343.44,1,862400,3,5509
8,1,0.42,2,8,31,0.582232011747428,365.7,1,950400,2,78
8,0,0.25,2,19,66,0.435389133627015,356.16,0,836000,1,6829
13,1,0.49,2,5,15,0.787812041115999,339.2,1,844800,3,8799
13,0,0.62,2,6,16,0.685022026431714,334.96,1,915200,2,5823
12,0,0.47,2,9,28,0.685022026431714,322.24,1,897600,2,10473
8,0,0.42,2,9,17,0.307635829662258,332.84,1,1091200,3,3176
7,1,0,2,12,30,0.476505139500731,374.18,1,836000,2,5681
6,1,0.02,2,8,32,0.479441997063142,377.36,1,862400,2,3377
7,1,0.02,3,35,73,0.508810572687221,351.92,1,818400,1,9776
8,1,0.22,2,43,145,0.494126284875182,342.38,1,827200,2,9533
10,1,0.11,3,30,73,0.802496328928039,337.08,1,792000,2,4161
9,0,0.41,2,10,24,0.351688693098386,345.56,1,1038400,3,6786
8,0,0.34,3,26,60,0.486784140969162,355.1,1,985600,4,5064
9,1,0.11,2,20,42,0.559471365638761,357.22,1,932800,2,2836
8,1,0.1,2,28,53,0.451541850220268,359.34,1,853600,2,4301
9,1,0.24,2,7,27,0.479441997063142,339.2,1,827200,2,11427
7,1,0.07,2,8,23,0.411894273127742,367.82,1,924000,2,1764
8,0,0.37,2,5,12,0.307635829662258,341.32,1,976800,4,4916
7,0,0.3,3,31,135,0.226872246696032,345.56,1,1020800,3,6422
9,0,0.57,2,14,27,0.373715124816445,343.44,1,994400,4,4565
9,1,0.02,2,4,28,0.608663729809104,375.24,1,897600,3,1476
6,1,0,2,7,16,0.341409691629955,371,1,1003200,2,8266
12,0,0.51,2,6,21,0.575624082232015,329.66,1,897600,2,8539
8,1,0.02,3,3,14,0.503671071952998,345.56,1,924000,3,2915
8,1,0.29,4,51,145,0.508810572687221,341.32,1,906400,2,959
7,1,0.05,5,4,11,0.495594713656387,352.98,1,994400,2,8117
12,0,0.66,2,6,20,0.640969162995595,319.06,1,880000,2,7679
8,0,0.42,2,8,32,0.494126284875182,366.76,1,888800,3,3363
8,0,0.23,2,18,34,0.354625550660789,341.32,1,862400,3,5209
9,1,0.34,2,7,31,0.608663729809104,355.1,1,924000,2,10923
8,1,0.22,3,14,104,0.490455212922172,338.14,1,844800,2,10690
9,0,0.27,2,29,136,0.611600587371507,334.96,1,809600,2,6935
9,0,0.47,2,19,52,0.501468428781202,354.04,1,924000,4,2374
6,1,0.15,2,6,19,0.482378854625545,354.04,1,862400,2,3754
9,0,0.33,2,12,19,0.502936857562407,360.4,1,906400,4,11064
9,1,0.24,2,7,28,0.655653450807642,357.22,0,897600,2,8471
8,1,0.06,2,14,113,0.361967694566808,306.34,0,818400,2,10121
9,1,0.28,2,11,32,0.475036710719525,352.98,1,836000,2,2218
8,0,0.29,4,17,44,0.476505139500731,355.1,1,985600,3,6806
8,0,0.4,3,8,18,0.532305433186495,352.98,1,924000,2,5498
7,1,0.08,2,42,44,0.378120411160062,349.8,1,985600,3,157
7,1,0.01,2,11,20,0.435389133627015,352.98,1,906400,2,3708
10,0,0.4,2,6,10,0.526431718061672,343.44,1,1003200,2,726
7,1,0.02,2,35,92,0.409691629955946,344.5,1,976800,3,7472
7,1,0,2,7,13,0.353157121879575,362.52,1,968000,2,3421
9,0,0.36,2,6,15,0.417767988252572,349.8,1,827200,3,9891
7,1,0.01,2,17,34,0.427312775330388,355.1,1,809600,2,337
7,0,0.14,3,15,25,0.479441997063142,364.64,1,1064800,3,2393
11,0,0.54,3,9,17,0.523494860499261,340.26,1,968000,3,683
9,1,1,2,37,153,0.516152716593241,352.98,0,862400,3,10206
10,1,0.27,2,7,54,0.596916299559467,340.26,1,818400,2,3402
10,0,0.4,2,6,16,0.560205580029368,354.04,1,959200,4,5631
8,0,0.37,3,24,110,0.516152716593241,306.34,2,800800,2,9442
12,0,0.52,2,14,25,0.589574155653448,320.12,1,862400,4,1556
8,1,0.2,1,9,65,0.486784140969162,358.28,1,818400,2,7380
11,0,0.5,3,20,55,0.582232011747428,334.96,1,836000,2,4969
13,0,0.49,3,5,21,0.626284875183555,327.54,1,1003200,3,3415
5,1,0,1,16,59,0.107929515418493,425.06,1,1196800,4,3946
7,1,0.08,4,9,18,0.418502202643171,363.58,1,941600,4,899
7,1,0,2,14,38,0.479441997063142,360.4,1,836000,2,1552
7,1,0.07,2,11,16,0.442731277533035,362.52,1,968000,3,3381
12,0,0.48,2,8,20,0.670337738619674,327.54,1,915200,2,2412
12,0,0.51,3,26,89,0.746696035242291,338.14,1,836000,2,823
12,0,0.49,4,19,43,0.567547723935388,333.9,1,836000,2,11283
7,1,0.01,2,8,25,0.523494860499261,367.82,1,809600,2,5944
11,0,0.66,3,12,25,0.457415565345074,320.12,1,1056000,3,4209
7,0,0.15,2,8,44,0.406020558002936,359.34,0,809600,2,6710
8,1,0,2,30,35,0.378120411160062,354.04,1,950400,2,5093
9,0,0.45,1,21,46,0.611600587371507,359.34,1,853600,2,5317
10,1,0.64,4,6,19,0.685022026431714,334.96,1,844800,2,6293
6,1,0.21,2,8,25,0.500734214390595,382.66,1,818400,3,7073
7,1,0.05,2,13,31,0.395007342143898,362.52,1,959200,3,9859
6,0,0.19,3,10,25,0.500734214390595,340.26,1,906400,3,10455
7,0,0.04,2,6,15,0.435389133627015,355.1,1,792000,3,4548
7,1,0.02,2,9,14,0.406020558002936,359.34,1,853600,3,3886
10,0,0.46,2,5,13,0.685022026431714,332.84,1,800800,3,7692
8,1,0.24,2,5,15,0.534508076358291,357.22,1,836000,3,5775
8,0,0.53,2,7,21,0.469897209985318,356.16,1,924000,2,10499
8,0,0.42,2,9,24,0.486784140969162,351.92,1,827200,3,10342
10,0,0.49,5,9,28,0.596916299559467,337.08,1,809600,3,2275
9,0,0.51,2,17,29,0.351688693098386,339.2,1,994400,4,1989
7,1,0.02,2,26,85,0.475770925110132,354.04,1,836000,2,1631
7,1,0,2,3,8,0.334067547723935,336.02,1,862400,2,7203
11,0,0.49,3,5,21,0.655653450807642,341.32,1,880000,2,9892
6,0,0.19,2,13,31,0.538179148311301,387.96,1,950400,4,1346
8,2,0.05,2,10,39,0.560205580029368,374.18,1,871200,3,12419
9,0,0.39,2,12,31,0.310572687224662,332.84,1,994400,5,12005
7,1,0.12,2,4,7,0.435389133627015,356.16,1,888800,1,11154
6,1,0.2,2,14,39,0.500734214390595,375.24,1,950400,3,409
13,0,0.49,4,10,24,0.552863436123348,325.42,1,1056000,3,11265
7,0,0.33,2,14,42,0.528634361233485,367.82,1,818400,2,11361
12,0,0.51,2,12,30,0.534508076358291,340.26,1,871200,4,12388
11,0,0.66,4,6,18,0.350220264317172,340.26,1,1179200,4,4912
9,0,0.34,2,5,17,0.626284875183555,352.98,1,924000,2,6770
6,0,0.14,1,15,25,0.331864904552122,354.04,1,862400,3,9596
7,1,0,2,15,21,0.435389133627015,354.04,1,862400,2,7095
10,0,0.42,2,6,16,0.563142437591771,341.32,1,915200,2,5733
10,0,0.59,3,11,27,0.457415565345074,328.6,1,1056000,4,1246
8,1,0.34,2,28,79,0.545521292217329,356.16,1,871200,2,4788
9,1,0.11,3,17,40,0.611600587371507,364.64,1,976800,3,424
7,1,0.02,2,35,111,0.451541850220268,352.98,1,827200,2,5476
8,1,0.19,2,15,105,0.361967694566808,346.62,1,976800,3,10603
9,1,0.26,2,9,21,0.486784140969162,347.68,1,809600,2,8307
7,1,0,2,13,35,0.523494860499261,358.28,1,827200,4,478
8,1,0,2,5,14,0.486784140969162,344.5,1,836000,3,8043
11,0,0.41,1,7,15,0.491189427312779,340.26,1,959200,4,11484
12,0,0.51,2,17,69,0.707048458149781,322.24,1,818400,2,7155
8,0,0.25,4,5,16,0.523494860499261,348.74,1,844800,3,8674
7,1,0,3,8,16,0.398678414096916,359.34,0,950400,2,11268
10,1,0.27,2,35,152,0.569016152716594,333.9,1,809600,2,8942
7,0,0.25,2,4,28,0.421439060205582,360.4,1,796400,2,9017
7,1,0.25,2,32,141,0.501468428781202,364.64,1,836000,2,5293
8,1,0.29,2,15,81,0.457415565345074,340.26,1,836000,3,11763
9,0,0.39,2,4,17,0.516152716593241,351.92,1,800800,3,140
6,0,0.25,2,13,50,0.500734214390595,366.76,1,836000,3,11552
9,0,0.32,3,21,84,0.596916299559467,347.68,1,853600,2,12168
11,0,0.57,2,7,26,0.729074889867841,322.24,1,836000,2,3706
7,0,0.24,2,19,36,0.316446402349476,361.46,1,985600,3,8042
9,1,0.31,3,17,40,0.714390602055801,368.88,2,862400,2,4845
